Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
NEW YORK,NEW YORK,,01/01/2020,40,34.8,38,28.2,,0.06,,13.7,24.2,22.7,57.3,"Rain, Clear"
NEW YORK,NEW YORK,,01/02/2020,47.5,32.8,40.4,27.3,,0.04,,8.9,50.6,3.3,62.35,"Rain, Clear"
NEW YORK,NEW YORK,,01/03/2020,46.9,43.8,45.6,42.2,,0.03,,4.8,,27.5,85.88,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,01/04/2020,48.8,42.4,46.6,43.1,,0.13,,4.8,,31.4,93.35,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,01/05/2020,43.5,36.7,39.7,31.2,,0,,7.2,41.9,24.3,52.87,Clear
NEW YORK,NEW YORK,,01/06/2020,44.5,32.6,38.8,26.9,,0.02,,10.5,51.7,18.6,68.71,"Rain, Clear"
NEW YORK,NEW YORK,,01/07/2020,43.2,37.8,40.1,34,,0,,7.2,39.1,8.7,58.98,Clear
NEW YORK,NEW YORK,,01/08/2020,43.2,29.8,35.9,26.5,,0,,10.5,47.2,14.9,61.57,Clear
NEW YORK,NEW YORK,,01/09/2020,34.6,25.3,30.5,19.4,,0,,6.4,40.8,3.7,49.28,Clear
NEW YORK,NEW YORK,,01/10/2020,52.4,33.9,43.8,28.2,,0,,9.7,44.2,24.9,74.38,Clear
NEW YORK,NEW YORK,,01/11/2020,63.8,52.6,58.5,,,0,,12,39.1,28.3,74.62,Partially cloudy
NEW YORK,NEW YORK,,01/12/2020,65.6,48.5,59.6,47.1,,0.01,,16.1,35,9.9,61.49,"Rain, Clear"
NEW YORK,NEW YORK,,01/13/2020,46.4,38.8,43.3,33,,0,,9.7,,32.1,74.96,Partially cloudy
NEW YORK,NEW YORK,,01/14/2020,45.6,40.9,43.2,36.8,,0,,7.2,,25.4,85.21,Partially cloudy
NEW YORK,NEW YORK,,01/15/2020,51.7,42.8,46.4,39.5,,0,,6.4,34.4,9.6,71.71,Clear
NEW YORK,NEW YORK,,01/16/2020,49.2,35.7,43.4,32.2,,0.02,,10.5,42.5,20.1,66.86,"Rain, Clear"
NEW YORK,NEW YORK,,01/17/2020,34.7,23.6,28.6,17.1,,0,,6.4,45.9,2.9,45.48,Clear
NEW YORK,NEW YORK,,01/18/2020,37.2,22.2,27.9,15.8,,0.14,,10.6,18.3,21.8,72.73,"Rain, Clear"
NEW YORK,NEW YORK,,01/19/2020,44.1,30.9,38.6,30.6,,0,,9.7,24.2,21.4,65.67,Clear
NEW YORK,NEW YORK,,01/20/2020,35.4,22.5,27.8,16.6,,0,,8,46.6,0.8,49.56,Clear
NEW YORK,NEW YORK,,01/21/2020,36.4,23.3,28.7,17.1,,0,,7.2,42.5,0,57.42,Clear
NEW YORK,NEW YORK,,01/22/2020,40.5,27.9,33.3,22.2,,0.01,,5.6,48.3,0,58.76,"Rain, Clear"
NEW YORK,NEW YORK,,01/23/2020,44.8,31.5,38.1,27,,0,,4.8,48.3,0,60.14,Clear
NEW YORK,NEW YORK,,01/24/2020,52.2,37.9,43.6,34.5,,0,,10.5,39.1,0.8,57.33,Clear
NEW YORK,NEW YORK,,01/25/2020,50.5,39.7,43.9,32.5,,0.03,,15.3,33.3,28.2,88.46,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,01/26/2020,46.7,38,41.4,34,,0,,9.7,24.2,18.3,70.35,Clear
NEW YORK,NEW YORK,,01/27/2020,46,37.8,40.9,31.9,,0.02,,9.7,58.7,27.6,63.77,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,01/28/2020,44,38.5,40.2,33.8,,0.01,,6.4,48.3,33.4,57.72,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,01/29/2020,43.2,33.8,37.5,29.2,,0.01,,6.4,49.4,15.4,50.22,"Rain, Clear"
NEW YORK,NEW YORK,,01/30/2020,38.4,28.4,33.7,19,,0,,10.5,47.2,6.3,63.01,Clear
NEW YORK,NEW YORK,,01/31/2020,42.7,35.7,39.5,30.9,,0.02,,5.6,33.3,30.4,76.81,"Rain, Partially cloudy"
