Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
NEW YORK,NEW YORK,,04/01/2020,56.3,39.7,47.3,33.8,,0,,12.8,23,21.5,56.03,Clear
NEW YORK,NEW YORK,,04/02/2020,60,39.7,49.8,38.5,,0,,8,24.2,19.6,46.7,Clear
NEW YORK,NEW YORK,,04/03/2020,52.2,46.1,50.1,44.2,,0.01,,11.2,20.8,23.2,69.09,"Rain, Clear"
NEW YORK,NEW YORK,,04/04/2020,58.3,46.9,51.1,43.8,,0,,8.1,26.4,28.8,73.24,Partially cloudy
NEW YORK,NEW YORK,,04/05/2020,61.5,46,52,45.4,,0,,4.8,,22.1,77.61,Clear
NEW YORK,NEW YORK,,04/06/2020,67.8,50.2,56.7,,,0,,9.7,20.8,7.8,51.34,Clear
NEW YORK,NEW YORK,,04/07/2020,64.6,50.4,56.7,,,0,,9.7,,13.1,42.97,Clear
NEW YORK,NEW YORK,,04/08/2020,65.7,49,56.9,,,0,,6.4,,18.6,73.02,Clear
NEW YORK,NEW YORK,,04/09/2020,57.4,47.1,51.3,43.7,,0.04,,7.2,24.2,17,70.89,"Rain, Clear"
NEW YORK,NEW YORK,,04/10/2020,48.2,39.6,44.5,33.2,,0,,14.5,33.3,21.3,55.74,Clear
NEW YORK,NEW YORK,,04/11/2020,55.7,39.6,48,34.1,,0,,10.5,33.3,4.5,38.53,Clear
NEW YORK,NEW YORK,,04/12/2020,63,46,53.9,46.3,,0,,7.2,16.1,9.4,55.98,Clear
NEW YORK,NEW YORK,,04/13/2020,65.4,53.9,58.4,,,1.01,,12.8,32.7,26.6,85.08,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,04/14/2020,59.2,47.8,52.4,46.9,,0,,7.2,17.2,8.7,48.82,Clear
NEW YORK,NEW YORK,,04/15/2020,53.5,42.6,48.4,39.7,,0,,9.7,16.1,14.2,42.34,Clear
NEW YORK,NEW YORK,,04/16/2020,50.2,39.6,45.9,37.5,,0.01,,10.5,51.8,21.8,43.64,"Rain, Clear"
NEW YORK,NEW YORK,,04/17/2020,49.1,37.6,43.4,33.2,,0,,12.8,24.2,14.9,54.29,Clear
NEW YORK,NEW YORK,,04/18/2020,47.1,43.2,45,39.5,,0.01,,8,,24,78.11,"Rain, Clear"
NEW YORK,NEW YORK,,04/19/2020,59.3,39.6,50.5,35.5,,0,,11.2,23,8.6,51.63,Clear
NEW YORK,NEW YORK,,04/20/2020,55.5,48.9,52.8,47.3,,0,,7.2,18.3,10.9,49.16,Clear
NEW YORK,NEW YORK,,04/21/2020,57.4,43.1,49.9,42.4,,0.04,,10.5,42.5,12.5,66.6,"Rain, Clear"
NEW YORK,NEW YORK,,04/22/2020,53.8,37.9,45.2,31.8,,0,,10.5,27.7,14.9,36.7,Clear
NEW YORK,NEW YORK,,04/23/2020,51.7,41.7,45.2,38.6,,0,,5.6,,19.3,45.91,Clear
NEW YORK,NEW YORK,,04/24/2020,49.8,43.9,47.2,38.5,,0.19,,20.4,28.7,32.4,89.35,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,04/25/2020,62.6,46.1,52.8,49.3,,0,,6.4,,7.1,65.25,Clear
NEW YORK,NEW YORK,,04/26/2020,50.9,44.7,48.4,41,,0.05,,15.3,35,29.1,80.32,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,04/27/2020,50.4,41.6,45.5,37.4,,0,,7.2,23,29.2,75.05,Partially cloudy
NEW YORK,NEW YORK,,04/28/2020,66,42.2,52.9,40.5,,0,,7.2,20.8,4.1,56.66,Clear
NEW YORK,NEW YORK,,04/29/2020,55.3,48.2,51.4,43.9,,0,,13.7,28.9,26.7,76.57,Partially cloudy
NEW YORK,NEW YORK,,04/30/2020,58.8,50.9,54.6,,,0.23,,13.7,37.9,30.2,88.48,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,05/01/2020,66.3,53,58.1,,,0.05,,4.8,,30.3,82.91,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,05/02/2020,73.1,52.1,62.8,,,0,,9.7,20.8,3.6,44.34,Clear
NEW YORK,NEW YORK,,05/03/2020,77.4,55.3,65.7,,,0.03,,8,42.5,12.6,58.88,"Rain, Clear"
NEW YORK,NEW YORK,,05/04/2020,71.8,51.3,62.9,,,0,,5.6,,22.7,45.45,Clear
NEW YORK,NEW YORK,,05/05/2020,63.9,47.1,54.8,44.9,,0,,6.4,20.8,1.3,37.28,Clear
NEW YORK,NEW YORK,,05/06/2020,54.2,46.9,50.5,44.7,,0.01,,10.5,19.7,27.3,69.11,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,05/07/2020,66.7,47.7,56.7,45.8,,0.01,,10.5,20.8,23.2,45.77,"Rain, Clear"
NEW YORK,NEW YORK,,05/08/2020,59.4,44.3,50,42.8,,0.23,,5.6,16.1,30.6,59.66,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,05/09/2020,47.4,36.2,42,31.8,,0.05,,14.5,33.3,17.1,53.64,"Rain, Clear"
NEW YORK,NEW YORK,,05/10/2020,62.7,39.7,51.8,32.8,,0,,14.5,28.9,0.8,43.15,Clear
NEW YORK,NEW YORK,,05/11/2020,59.3,46.3,52.9,44.5,,0.02,,20.9,55.3,14.5,64.48,"Rain, Clear"
NEW YORK,NEW YORK,,05/12/2020,60.3,44.8,52.4,42.8,,0,,6.4,18.3,18.7,40.89,Clear
NEW YORK,NEW YORK,,05/13/2020,65.1,42.6,52.7,40.3,,0,,8,17.2,1.6,44.06,Clear
NEW YORK,NEW YORK,,05/14/2020,64,49.9,58.5,,,0,,8,,6.1,48.37,Clear
NEW YORK,NEW YORK,,05/15/2020,79.7,60.3,69.7,,,0,,10.5,20.8,14,65.08,Clear
NEW YORK,NEW YORK,,05/16/2020,75.2,63,68.9,,,0,,7.2,18.3,8.1,57.59,Clear
NEW YORK,NEW YORK,,05/17/2020,64.6,55.4,59.3,,,0,,9.7,19.7,18.7,63.78,Clear
NEW YORK,NEW YORK,,05/18/2020,68.5,55.6,61.1,,,0.01,,8.9,17.2,18.4,61.06,"Rain, Clear"
NEW YORK,NEW YORK,,05/19/2020,66.4,55,60.1,,,0,,14.5,30,0,48.56,Clear
NEW YORK,NEW YORK,,05/20/2020,64.7,51.3,56.9,,,0,,12,24.2,0,49.51,Clear
NEW YORK,NEW YORK,,05/21/2020,65.1,49.8,56.9,47.8,,0,,6.4,,2.3,67.24,Clear
NEW YORK,NEW YORK,,05/22/2020,72.4,55.8,63.2,,,0,,6.4,,17.6,78.75,Clear
NEW YORK,NEW YORK,,05/23/2020,66.1,56.8,61.3,,,0.3,,15.3,31.1,35.2,87.8,"Rain, Partially cloudy"
NEW YORK,NEW YORK,,05/24/2020,68.2,53.9,59.6,,,0,,12.8,26.4,26.8,68.02,Partially cloudy
NEW YORK,NEW YORK,,05/25/2020,71.4,56,61.8,,,0,,8,,23.8,80.31,Clear
NEW YORK,NEW YORK,,05/26/2020,72.8,57.7,63.5,,,0,,6.4,52.8,19.4,84.95,Clear
NEW YORK,NEW YORK,,05/27/2020,73.3,58.7,64.5,,,0,,7.2,,22.9,84.96,Clear
NEW YORK,NEW YORK,,05/28/2020,73.9,62.3,67.7,,,0,,8.9,20.8,30.1,88.3,Partially cloudy
