"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"473","Frejgatan 20, Stockholm","2","Odensala fd församling","12/1/2019 - 12/31/2019, Every day, Daily Average",1847,1542,2211
"473","Frejgatan 20, Stockholm","8","Sankt Olofs glesbygd","12/1/2019 - 12/31/2019, Every day, Daily Average",1978,1630,2400
"473","Frejgatan 20, Stockholm","17","Märsta södra glesbygd","12/1/2019 - 12/31/2019, Every day, Daily Average",1647,1318,2056
"473","Frejgatan 20, Stockholm","24","Södra Ekilla","12/1/2019 - 12/31/2019, Every day, Daily Average",1770,1416,2211
"473","Frejgatan 20, Stockholm","28","Steninge gård","12/1/2019 - 12/31/2019, Every day, Daily Average",1772,1422,2207
"473","Frejgatan 20, Stockholm","35","Märsta Centrum","12/1/2019 - 12/31/2019, Every day, Daily Average",1698,1368,2106
"473","Frejgatan 20, Stockholm","36","Norrsunda glesbygd","12/1/2019 - 12/31/2019, Every day, Daily Average",1431,1118,1830
"473","Frejgatan 20, Stockholm","37","Tingvalla","12/1/2019 - 12/31/2019, Every day, Daily Average",1702,1356,2136
"473","Frejgatan 20, Stockholm","41","Norrsunda industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1634,1293,2064
"473","Frejgatan 20, Stockholm","43","Arlanda stad","12/1/2019 - 12/31/2019, Every day, Daily Average",1530,1198,1953
"473","Frejgatan 20, Stockholm","49","Västra Ryds glesbygd","12/1/2019 - 12/31/2019, Every day, Daily Average",1493,1167,1909
"473","Frejgatan 20, Stockholm","54","Eds glesbygd","12/1/2019 - 12/31/2019, Every day, Daily Average",1421,1070,1886
"473","Frejgatan 20, Stockholm","57","NV:a Vallentuna tätort","12/1/2019 - 12/31/2019, Every day, Daily Average",1638,1417,1893
"473","Frejgatan 20, Stockholm","58","Löwenströmska Sjukhuset","12/1/2019 - 12/31/2019, Every day, Daily Average",1297,995,1690
"473","Frejgatan 20, Stockholm","59","Angarns församling","12/1/2019 - 12/31/2019, Every day, Daily Average",1174,914,1506
"473","Frejgatan 20, Stockholm","60","Östra Ormsta","12/1/2019 - 12/31/2019, Every day, Daily Average",1406,1154,1712
"473","Frejgatan 20, Stockholm","61","Bro glesbygd","12/1/2019 - 12/31/2019, Every day, Daily Average",1660,1301,2116
"473","Frejgatan 20, Stockholm","62","Västra Ormsta","12/1/2019 - 12/31/2019, Every day, Daily Average",1561,1257,1937
"473","Frejgatan 20, Stockholm","63","Brunnby","12/1/2019 - 12/31/2019, Every day, Daily Average",1239,943,1627
"473","Frejgatan 20, Stockholm","65","Centrala Vallentuna","12/1/2019 - 12/31/2019, Every day, Daily Average",1558,1314,1847
"473","Frejgatan 20, Stockholm","66","Åby bostadsområde","12/1/2019 - 12/31/2019, Every day, Daily Average",1554,1219,1980
"473","Frejgatan 20, Stockholm","69","Åby","12/1/2019 - 12/31/2019, Every day, Daily Average",1449,1203,1744
"473","Frejgatan 20, Stockholm","72","Karlberg Rickeby","12/1/2019 - 12/31/2019, Every day, Daily Average",1349,1101,1652
"473","Frejgatan 20, Stockholm","74","Västra Bällsta","12/1/2019 - 12/31/2019, Every day, Daily Average",1429,1181,1727
"473","Frejgatan 20, Stockholm","75","Skälby industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1183,897,1558
"473","Frejgatan 20, Stockholm","76","Apoteksskogen","12/1/2019 - 12/31/2019, Every day, Daily Average",1234,966,1575
"473","Frejgatan 20, Stockholm","78","Frestaby","12/1/2019 - 12/31/2019, Every day, Daily Average",1404,1093,1802
"473","Frejgatan 20, Stockholm","81","Carlslund","12/1/2019 - 12/31/2019, Every day, Daily Average",1208,1003,1454
"473","Frejgatan 20, Stockholm","82","Korpkulla","12/1/2019 - 12/31/2019, Every day, Daily Average",1287,1029,1609
"473","Frejgatan 20, Stockholm","83","Vilunda","12/1/2019 - 12/31/2019, Every day, Daily Average",1154,870,1529
"473","Frejgatan 20, Stockholm","85","Östra Odenslunda","12/1/2019 - 12/31/2019, Every day, Daily Average",1273,1006,1609
"473","Frejgatan 20, Stockholm","86","Väsby industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1329,1057,1669
"473","Frejgatan 20, Stockholm","87","Norra Runö","12/1/2019 - 12/31/2019, Every day, Daily Average",1140,948,1369
"473","Frejgatan 20, Stockholm","88","Kragstalund","12/1/2019 - 12/31/2019, Every day, Daily Average",1363,1129,1644
"473","Frejgatan 20, Stockholm","89","Bällstaberg","12/1/2019 - 12/31/2019, Every day, Daily Average",1220,1006,1478
"473","Frejgatan 20, Stockholm","90","Västra Odenslunda","12/1/2019 - 12/31/2019, Every day, Daily Average",1116,841,1479
"473","Frejgatan 20, Stockholm","92","Södra Runby","12/1/2019 - 12/31/2019, Every day, Daily Average",1335,1062,1677
"473","Frejgatan 20, Stockholm","94","Prästgårdsmarken","12/1/2019 - 12/31/2019, Every day, Daily Average",1329,1078,1638
"473","Frejgatan 20, Stockholm","95","Norra Smedby","12/1/2019 - 12/31/2019, Every day, Daily Average",1137,860,1502
"473","Frejgatan 20, Stockholm","97","Brunna industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1423,1115,1814
"473","Frejgatan 20, Stockholm","98","Norra landsbygden","12/1/2019 - 12/31/2019, Every day, Daily Average",1188,934,1510
"473","Frejgatan 20, Stockholm","101","Brunna tätort","12/1/2019 - 12/31/2019, Every day, Daily Average",1388,1088,1770
"473","Frejgatan 20, Stockholm","103","Åkerstorp","12/1/2019 - 12/31/2019, Every day, Daily Average",1292,1106,1508
"473","Frejgatan 20, Stockholm","104","Södra Smedby","12/1/2019 - 12/31/2019, Every day, Daily Average",1117,842,1480
"473","Frejgatan 20, Stockholm","105","Kungsängens glesbygd","12/1/2019 - 12/31/2019, Every day, Daily Average",1309,1012,1691
"473","Frejgatan 20, Stockholm","106","Östra Ryds glesbygd","12/1/2019 - 12/31/2019, Every day, Daily Average",935,768,1137
"473","Frejgatan 20, Stockholm","107","Runborg","12/1/2019 - 12/31/2019, Every day, Daily Average",1313,1082,1592
"473","Frejgatan 20, Stockholm","108","Östra Täby Kyrkby","12/1/2019 - 12/31/2019, Every day, Daily Average",1283,1088,1512
"473","Frejgatan 20, Stockholm","109","Fresta södra glesbygd","12/1/2019 - 12/31/2019, Every day, Daily Average",1206,897,1620
"473","Frejgatan 20, Stockholm","110","Västra Bollstanäs","12/1/2019 - 12/31/2019, Every day, Daily Average",1118,842,1483
"473","Frejgatan 20, Stockholm","111","Häradsallmänningen","12/1/2019 - 12/31/2019, Every day, Daily Average",1202,921,1567
"473","Frejgatan 20, Stockholm","113","Karby Skogberga","12/1/2019 - 12/31/2019, Every day, Daily Average",1083,869,1348
